setup_id,specialized_ticker,direction,description,signal_ids,oos_first_trigger,oos_last_trigger,oos_days_since_last_trigger,oos_total_trades,oos_open_trades,oos_sum_pnl_dollars,oos_final_nav,oos_nav_total_return_pct,expectancy,source_run
SIG_02367|SIG_02384,TSLA US Equity,long,SPY US Equity_pos.oi_skew_z60 z_breakout_pos AND SPY US Equity_opt.rv_minus_iv_21 is_low,"SIG_02367, SIG_02384",2022-01-24,2025-09-03,2,10,1,57311.3668,157311.3668,57.3114,13124.6071,run_seed76_20250908_230722
SIG_02722|SIG_05093,TSLA US Equity,long,XLE US Equity_opt.iv_mom_5_z60 z_breakout_pos AND AMD US Equity_gate.liquid_flag is_high,"SIG_02722, SIG_05093",2021-01-28,2025-09-08,0,21,1,56930.4058,156930.4058,56.9304,10917.9534,run_seed78_20250908_235457
SIG_03398|SIG_04717,AAPL US Equity,long,XAU Curncy_px.stoch14_z is_high AND RTY Index_vol.updown_ratio_21 is_high,"SIG_03398, SIG_04717",2022-07-28,2025-08-27,12,10,1,55998.1469,155998.1469,55.9981,30849.3872,run_seed78_20250908_235457
SIG_04453,XLK US Equity,long,CL1 Comdty_px.stoch14_z is_high,SIG_04453,2024-07-02,2025-08-29,10,15,1,55194.5933,155194.5933,55.1946,9923.2204,run_seed78_20250908_235457
SIG_00178|SIG_03493,MSTR US Equity,long,TSLA US Equity_sent.tw_pub_z30 is_high AND RTY Index_x.spread_vs_sector_21 is_high,"SIG_00178, SIG_03493",2022-02-25,2025-09-08,0,14,1,53720.3031,153720.3031,53.7203,25532.0161,run_seed78_20250908_235457
SIG_00494,AAPL US Equity,long,AMZN US Equity_flow.opt_vol_z30 is_high,SIG_00494,2024-08-05,2025-09-05,3,15,1,53514.5097,153514.5097,53.5145,12174.1748,run_seed78_20250908_235457
SIG_05097,NKE US Equity,long,MSTR US Equity_gate.liquid_flag z_breakout_pos,SIG_05097,2023-10-03,2025-09-08,0,17,1,52868.6938,152868.6938,52.8687,9545.9769,run_seed78_20250908_235457
SIG_05153,GOOGL US Equity,long,LLY US Equity_cs.rank_mom_21 z_breakout_pos,SIG_05153,2021-01-04,2025-09-08,0,15,1,48959.2761,148959.2761,48.9593,2972.4803,run_seed78_20250908_235457
SIG_00510,TSLA US Equity,long,AMZN US Equity_sent.tw_avg_z30 is_high,SIG_00510,2024-07-04,2025-09-08,0,16,1,47065.2675,147065.2675,47.0653,11442.159,run_seed78_20250908_235457
SIG_02732,LLY US Equity,long,XLE US Equity_flow.pcr_ema5_z30 is_high,SIG_02732,2024-01-11,2025-08-29,10,17,1,46191.3273,146191.3273,46.1913,13558.6808,run_seed78_20250908_235457
SIG_03310,XLK US Equity,short,XLP US Equity_opt.vrp_21 is_low,SIG_03310,2024-01-03,2025-09-08,0,44,1,46160.429,146160.429,46.1604,-175.9534,run_seed7_20250908_221437
SETUP_0052,ARM US Equity,long,MSFT US Equity_EV__EV_days_to_high is_high,SIG_03392,2024-09-03,2025-09-02,1,36,1,43001.9446,143001.9446,43.0019,4556.7973,run_seed38_20250906_113633
SIG_04051,LLY US Equity,long,JPY Curncy_px.stoch14_z is_high,SIG_04051,2024-01-05,2025-08-22,17,15,1,41259.4543,141259.4543,41.2595,12176.1522,run_seed78_20250908_235457
SIG_00194|SIG_04709,CRM US Equity,long,TSLA US Equity_sent.news_heat_z21 is_high AND XAU Curncy_px.trend_persist_21 is_high,"SIG_00194, SIG_04709",2022-02-25,2025-09-03,2,13,1,39312.5449,139312.5449,39.3125,4201.8672,run_seed76_20250908_230722
SETUP_0059,MSFT US Equity,long,MSFT US Equity_EV__EV_days_to_high is_high,SIG_03392,2024-09-03,2025-09-02,1,36,1,36629.5604,136629.5604,36.6296,894.8792,run_seed38_20250906_113633
SETUP_0035,AMZN US Equity,long,TSLA US Equity_MBA_Mortgage_Applications_days_to_high is_low AND ARM US Equity_S&P_Global_US_Composite_PMI_in_window is_high,"SIG_03879, SIG_04525",2024-01-04,2025-09-04,0,41,1,36343.2128,136343.2128,36.3432,-45.7623,run_seed48_20250907_022712
SIG_01595|SIG_03145,TSLA US Equity,short,AMD US Equity_opt.term_30d_3m is_low AND CRM US Equity_px.mom_5 is_low,"SIG_01595, SIG_03145",2021-03-02,2025-09-05,0,10,1,34624.1785,134624.1785,34.6242,-7104.8758,run_seed76_20250908_230722
SIG_00195,NKE US Equity,short,TSLA US Equity_sent.news_heat_z21 is_low,SIG_00195,2021-07-06,2025-09-02,6,56,1,32716.7568,132716.7568,32.7168,-3141.2686,run_seed78_20250908_235457
SIG_03788|SIG_04683,MSTR US Equity,long,XAU Curncy_px.mom_21 z_breakout_pos AND USGG2YR Index_px.mom_21 is_low,"SIG_03788, SIG_04683",2021-09-09,2025-08-29,10,7,1,30964.1392,130964.1392,30.9641,60541.9972,run_seed78_20250908_235457
